workflow_file,donor_id,scenario,timestamp,processed,notes
aug_gem_4_gem_demo_donor80.json,aug_gem_4_gem_demo,donor_dominant,20241122_190454,No,
aug_gem_4_gem_demo_blend50.json,aug_gem_4_gem_demo,balanced,20241122_190454,No,
aug_gem_4_gem_demo_me80.json,aug_gem_4_gem_demo,me_dominant,20241122_190454,No,
aug_gem_4_gem_wo_rand71.json,aug_gem_4_gem_wo,random,20241122_190455,No,
aug_gem_4_gem_wo_donor80.json,aug_gem_4_gem_wo,donor_dominant,20241122_190455,No,
aug_gem_4_gem_wo_blend50.json,aug_gem_4_gem_wo,balanced,20241122_190455,No,
aug_gem_4_gem_wo_me80.json,aug_gem_4_gem_wo,me_dominant,20241122_190455,No,
aug_gem_5_gem_demo_rand60.json,aug_gem_5_gem_demo,random,20241122_190456,No,
aug_gem_5_gem_demo_donor80.json,aug_gem_5_gem_demo,donor_dominant,20241122_190456,No,
aug_gem_5_gem_demo_blend50.json,aug_gem_5_gem_demo,balanced,20241122_190456,No,
aug_gem_5_gem_demo_me80.json,aug_gem_5_gem_demo,me_dominant,20241122_190456,No,
aug_gem_5_gem_wo_rand75.json,aug_gem_5_gem_wo,random,20241122_190457,No,
aug_gem_5_gem_wo_donor80.json,aug_gem_5_gem_wo,donor_dominant,20241122_190457,No,
aug_gem_5_gem_wo_blend50.json,aug_gem_5_gem_wo,balanced,20241122_190457,No,
aug_gem_5_gem_wo_me80.json,aug_gem_5_gem_wo,me_dominant,20241122_190457,No,
aug_gem_6_gem_demo_rand79.json,aug_gem_6_gem_demo,random,20241122_190458,No,
aug_gem_6_gem_demo_donor80.json,aug_gem_6_gem_demo,donor_dominant,20241122_190458,No,
aug_gem_6_gem_demo_blend50.json,aug_gem_6_gem_demo,balanced,20241122_190458,No,
aug_gem_6_gem_demo_me80.json,aug_gem_6_gem_demo,me_dominant,20241122_190458,No,
aug_gem_6_gem_wo_rand59.json,aug_gem_6_gem_wo,random,20241122_190459,No,
aug_gem_6_gem_wo_donor80.json,aug_gem_6_gem_wo,donor_dominant,20241122_190459,No,
