standardized_ethnicity,Bachelor,Doctoral,High School,Master,Other,Unknown
Asian,52.702702702702695,7.207207207207207,0.45045045045045046,24.774774774774773,13.063063063063062,1.8018018018018018
Black,47.05882352941176,0.0,7.8431372549019605,15.686274509803921,19.607843137254903,9.803921568627452
Caucasian,52.70935960591133,2.2167487684729066,0.9852216748768473,16.748768472906402,17.24137931034483,10.098522167487685
East Indian,28.000000000000004,4.0,14.000000000000002,38.0,16.0,0.0
Hispanic/Latino,53.608247422680414,3.0927835051546393,4.123711340206185,8.24742268041237,24.742268041237114,6.185567010309279
Middle Eastern/Arabic,18.181818181818183,0.0,0.0,27.27272727272727,36.36363636363637,18.181818181818183
Mixed/Multi-Ethnic,53.52112676056338,2.8169014084507045,11.267605633802818,7.042253521126761,11.267605633802818,14.084507042253522
Unknown,0.0,0.0,0.0,0.0,0.0,100.0
